Date                               Time                               RA                                 Dec                                RA error                           Dec error
A.D. 2022-Jun-28 04:22:01.8300     2459758.681965625                  16.0 29.0 13.569099840121908       +11 49 49.39529850652056           0.0001699981818815654              0.0011629755793700844
A.D. 2022-Jun-28 04:33:44.0890     2459758.690093623                  16.0 29.0 13.139653269740847       +11 49 50.774766060376834          0.00016906697976743558             0.0011147281432134532
A.D. 2022-Jun-28 04:51:15.6120     2459758.702264028                  16.0 29.0 12.496160445525675       +11 49 52.81999738557124           0.0001581052393408119              0.0009860852771247405
A.D. 2022-Jul-08 04:20:38.1880     2459768.680997546                  16.0 23.0 42.174939692258704       +11 43 23.28462743390429           2.5516348583143806e-05             0.0019319747751969957
A.D. 2022-Jul-08 04:38:40.4260     2459768.693523449                  16.0 23.0 41.87138220944462        +11 43 20.37092415996011           1.4601009920602764e-05             0.0019645788272335493
A.D. 2022-Jul-08 04:39:51.8300     2459768.694349884                  16.0 23.0 41.851376964455085       +11 43 20.177831005854017          1.4609901393156287e-05             0.0019482215922524727
A.D. 2022-Jul-12 04:04:10.1640     2459772.669562083                  16.0 22.0 54.00114719842577        +11 23 26.98728776360928           1.9452613476003735e-06             0.0010064335617136668
A.D. 2022-Jul-12 04:16:40.8260     2459772.678250301                  16.0 22.0 53.90000031992713        +11 23 23.800001385270143          5.424915153468808e-10              0.000975506447461294
A.D. 2022-Jul-12 04:29:21.1890     2459772.687050798                  16.0 22.0 53.797877946396966       +11 23 20.560240632101646          1.3358385818828103e-05             0.001072557664195121
A.D. 2022-Jul-14 04:31:37.7300     2459774.688631134                  16.0 22.0 48.58193365392253        +11 10 3.934882663234196           3.279125804048146e-06              8.676437667670411e-05
A.D. 2022-Jul-14 04:41:39.0250     2459774.695590567                  16.0 22.0 48.54602967000346        +11 10 0.9270941791584497          6.732961886833993e-06              6.73969467416042e-05
A.D. 2022-Jul-14 04:52:23.9230     2459774.703054664                  16.0 22.0 48.50804079796944        +11 9 57.69366236597323            3.3224546955845493e-06             0.0002330048708676152
