JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2459758.681965625, A.D. 2022-Jun-28 04:22:01.8300, -1.093326865083951E-01,  9.273537237996555E-01,  4.019653636246575E-01, -1.700262582929146E-02, -1.524844042244812E-03, -7.096836629389752E-04,  5.871503169765364E-03,  1.016619259574662E+00,  1.569955572738711E-04,
2459758.690093623, A.D. 2022-Jun-28 04:33:44.0890, -1.094708696204573E-01,  9.273413097249199E-01,  4.019595794929602E-01, -1.700801839485325E-02, -1.535895666718655E-03, -7.105968717161141E-04,  5.871510443349856E-03,  1.016620518956777E+00,  1.494676159414128E-04,
2459758.702264028, A.D. 2022-Jun-28 04:51:15.6120, -1.096778592330805E-01,  9.273225508517635E-01,  4.019509034938248E-01, -1.701522071983294E-02, -1.552954389087048E-03, -7.119661086291933E-04,  5.871520656188906E-03,  1.016622287255043E+00,  1.376400445069110E-04,
2459768.680997546, A.D. 2022-Jul-08 04:20:38.1880, -2.752734450061238E-01,  8.979852524847356E-01,  3.892333081589996E-01, -1.646547204764118E-02, -4.136029931069500E-03, -1.829862217584507E-03,  5.871903197932095E-03,  1.016688522304650E+00,  1.044272710034182E-04,
2459768.693523449, A.D. 2022-Jul-08 04:38:40.4260, -2.754796746284623E-01,  8.979333779544382E-01,  3.892103607771418E-01, -1.647057856652129E-02, -4.154261548630326E-03, -1.831218076057480E-03,  5.871910457678558E-03,  1.016689779290785E+00,  9.278196068990974E-05,
2459768.694349884, A.D. 2022-Jul-08 04:39:51.8300, -2.754932836219327E-01,  8.979299472643719E-01,  3.892088460981952E-01, -1.647087337542291E-02, -4.155480724454344E-03, -1.831307619904741E-03,  5.871910906686680E-03,  1.016689857034131E+00,  9.198801021561103E-05,
2459772.669562083, A.D. 2022-Jul-12 04:04:10.1640, -3.395253705354626E-01,  8.791674711463798E-01,  3.810735462183564E-01, -1.611593730110624E-02, -5.128501899251631E-03, -2.260273072047136E-03,  5.871262423131220E-03,  1.016577575587125E+00,  9.997000288380446E-05,
2459772.678250301, A.D. 2022-Jul-12 04:16:40.8260, -3.396653695756806E-01,  8.791228948267975E-01,  3.810538933651598E-01, -1.611949431973761E-02, -5.141029832516338E-03, -2.261188618458924E-03,  5.871267337370175E-03,  1.016578426461224E+00,  9.246924545166611E-05,
2459772.687050798, A.D. 2022-Jul-12 04:29:21.1890, -3.398072094776495E-01,  8.790776298040762E-01,  3.810339775653501E-01, -1.612251065050879E-02, -5.153948372435461E-03, -2.262117209130958E-03,  5.871271921486024E-03,  1.016579220176279E+00,  8.448049589371164E-05,
2459774.688631134, A.D. 2022-Jul-14 04:31:37.7300, -3.714909485261234E-01,  8.681456948925634E-01,  3.762941181366696E-01, -1.592533984517140E-02, -5.652029004828289E-03, -2.473946904303500E-03,  5.870835649994954E-03,  1.016503682109211E+00,  7.713035323147857E-05,
2459774.695590567, A.D. 2022-Jul-14 04:41:39.0250, -3.716017622155263E-01,  8.681063517238575E-01,  3.762768881806197E-01, -1.592685779746621E-02, -5.662474703284245E-03, -2.474674031660068E-03,  5.870838685247590E-03,  1.016504207646914E+00,  7.049210742497174E-05,
2459774.703054664, A.D. 2022-Jul-14 04:52:23.9230, -3.717206237430981E-01,  8.680640737953351E-01,  3.762584026501711E-01, -1.592805665587110E-02, -5.673777145288360E-03, -2.475454781584700E-03,  5.870841638990627E-03,  1.016504719071667E+00,  6.313240798011108E-05,

