JDTDB, Calendar Date, RA, Dec, RX, RY, RZ,
2459758.6819656, 2022-06-28 04:22:01.830, 16:29:13.66, +11:49:48.9, -1.093326865083951E-01,  9.273537237996555E-01,  4.019653636246575E-01,
2459758.6900936, 2022-06-28 04:33:44.089, 16:29:13.23, +11:49:50.5, -1.094708696204573E-01,  9.273413097249199E-01,  4.019595794929602E-01,
2459758.7022640, 2022-06-28 04:51:15.612, 16:29:12.60, +11:49:52.2, -1.096778592330805E-01,  9.273225508517635E-01,  4.019509034938248E-01,
2459768.6809975, 2022-07-08 04:20:38.188, 16:23:41.90, +11:43:21.6, -2.752734450061238E-01,  8.979852524847356E-01,  3.892333081589996E-01,
2459768.6935234, 2022-07-08 04:38:40.426, 16:23:41.90, +11:43:21.3, -2.754796746284623E-01,  8.979333779544382E-01,  3.892103607771418E-01,
2459768.6943499, 2022-07-08 04:39:51.830, 16:23:41.87, +11:43:21.1, -2.754932836219327E-01,  8.979299472643719E-01,  3.892088460981952E-01,
2459772.6695621, 2022-07-12 04:04:10.164, 16:22:54.01, +11:23:27.2, -3.395253705354626E-01,  8.791674711463798E-01,  3.810735462183564E-01,
2459772.6782503, 2022-07-12 04:16:40.826, 16:22:53.90, +11:23:23.8, -3.396653695756806E-01,  8.791228948267975E-01,  3.810538933651598E-01,
2459772.6870508, 2022-07-12 04:29:21.189, 16:22:53.79, +11:23:20.7, -3.398072094776495E-01,  8.790776298040762E-01,  3.810339775653501E-01,
2459774.6886311, 2022-07-14 04:31:37.730, 16:22:48.57, +11:10:04.0, -3.714909485261234E-01,  8.681456948925633E-01,  3.762941181366696E-01,
2459774.6955906, 2022-07-14 04:41:39.025, 16:22:48.54, +11:10:00.9, -3.716017622155263E-01,  8.681063517238574E-01,  3.762768881806196E-01,
2459774.7030547, 2022-07-14 04:52:23.923, 16:22:48.51, +11:09:57.4, -3.717206237430981E-01,  8.680640737953350E-01,  3.762584026501711E-01,
